price;size;location;real_estate;ownership
729.000 €;119,26 m²;Lärchenstraße 14, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
1.120.000 €;181,4 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.052.300 €;120 m²;Möslstraße 11, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
5.250.000 €;1.227,2 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.498.000 €;270 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
1.270.000 €;260 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.290.000 €;262 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.299.000 €;740 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
860.000 €;120 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
1.600.000 €;323 m²;Mammendorf, Fürstenfeldbruck (Kreis);Haus;Kauf
695.000 €;114 m²;Schöngeising, Fürstenfeldbruck (Kreis);Haus;Kauf
1.050.000 €;250 m²;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf
995.000 €;120 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
850.000 €;110 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
596.980 €;271 m²;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf
2.150.000 €;359,33 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
690.000 €;149 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
690.000 €;149 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
598.000 €;120 m²;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
700.000 €;136 m²;Kerschensteinerstr. 92, Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
695.000 €;170 m²;Mittelstetten, Fürstenfeldbruck (Kreis);Haus;Kauf
749.000 €;141,07 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
689.000 €;119 m²;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf
990.000 €;170 m²;Grafrath, Fürstenfeldbruck (Kreis);Haus;Kauf
890.000 €;130 m²;Grafrath, Fürstenfeldbruck (Kreis);Haus;Kauf
955.000 €;139,1 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
